SoilM,SoilT,Rh,CH4,N2O,NH4,NO3
25.6678502,5.98439352,29.9584737,-0.0224205,0.017653581,20.32133627,12.20840575
26.0998163,5.92512963,25.3386528,-0.0187132,-0.339296523,20.32133627,12.20840575
26.342608,6.909625,31.0324728,-0.0181661,0.024371989,20.32133627,12.20840575
26.0719334,7.87386574,34.1212257,-0.018856,-0.323635347,20.32133627,12.20840575
26.1544893,8.01128704,32.192213,-0.017733,-0.202017008,20.32133627,12.20840575
26.7360611,6.17945238,23.195606,-0.0171032,-0.009871702,20.32133627,12.20840575
26.1213449,7.39439583,32.2376907,-0.0297665,-0.312207253,20.32133627,12.20840575
25.7797943,7.59477778,25.587515,-0.0275395,-0.265105386,20.32133627,12.20840575
25.4118152,8.33275463,30.3135775,-0.0302456,-0.340915802,20.32133627,12.20840575
25.10166769,9.162037037,32.14117428,-0.02913951,-0.124746231,20.32133627,12.20840575
25.35247978,10.55222222,43.16574611,-0.029395012,0.174407234,20.32133627,12.20840575